"Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes"
"Variável - Quantidade produzida (Toneladas)"
"Brasil, Unidade da Federação e Município";"Ano x Produto das lavouras temporárias e permanentes"
"São Sebastião do Uatumã (AM)";"-"
"Silves (AM)";"-"
"Tabatinga (AM)";"-"
"Tapauá (AM)";"-"
"Tefé (AM)";"-"
"Tonantins (AM)";"-"
"Uarini (AM)";"-"
"Urucará (AM)";"-"
"Urucurituba (AM)";"-"
"Amajari (RR)";"2678"
"Alto Alegre (RR)";"114883"
"Boa Vista (RR)";"114376"
"Bonfim (RR)";"79137"
"Cantá (RR)";"9261"
"Caracaraí (RR)";"1440"
"Caroebe (RR)";"-"
"Iracema (RR)";"9160"
"Mucajaí (RR)";"15712"
"Normandia (RR)";"-"
"Pacaraima (RR)";"-"
"Rorainópolis (RR)";"-"
"São João da Baliza (RR)";"-"
"São Luiz (RR)";"-"
"Uiramutã (RR)";"-"
"Abaetetuba (PA)";"-"
"Abel Figueiredo (PA)";"17360"
"Acará (PA)";"-"
"Afuá (PA)";"-"
"Água Azul do Norte (PA)";"2025"
"Alenquer (PA)";"-"
"Almeirim (PA)";"-"
"Altamira (PA)";"47600"
"Anajás (PA)";"-"
"Ananindeua (PA)";"-"
"Anapu (PA)";"-"
"Augusto Corrêa (PA)";"-"
"Aurora do Pará (PA)";"-"
"Aveiro (PA)";"-"
"Bagre (PA)";"-"
"Baião (PA)";"-"
"Bannach (PA)";"-"
"Barcarena (PA)";"-"
"Belém (PA)";"-"
"Belterra (PA)";"105000"
"Benevides (PA)";"-"
"Bom Jesus do Tocantins (PA)";"-"
"Bonito (PA)";"-"
"Bragança (PA)";"-"
"Brasil Novo (PA)";"-"
"Brejo Grande do Araguaia (PA)";"1590"
"Breu Branco (PA)";"-"
"Breves (PA)";"-"
"Bujaru (PA)";"-"
"Cachoeira do Piriá (PA)";"-"
"Cachoeira do Arari (PA)";"-"
"Cametá (PA)";"-"
"Canaã dos Carajás (PA)";"-"
"Capanema (PA)";"-"
"Capitão Poço (PA)";"-"
"Castanhal (PA)";"-"
"Chaves (PA)";"-"
"Colares (PA)";"-"
"Conceição do Araguaia (PA)";"15679"
"Concórdia do Pará (PA)";"-"
"Cumaru do Norte (PA)";"29823"
"Curionópolis (PA)";"-"
"Curralinho (PA)";"-"
"Curuá (PA)";"-"
"Curuçá (PA)";"-"
"Dom Eliseu (PA)";"381753"
"Eldorado do Carajás (PA)";"-"
"Faro (PA)";"-"
"Floresta do Araguaia (PA)";"18005"
"Garrafão do Norte (PA)";"-"
"Goianésia do Pará (PA)";"-"
"Gurupá (PA)";"-"
"Igarapé-Açu (PA)";"-"
"Igarapé-Miri (PA)";"-"
"Inhangapi (PA)";"-"
"Ipixuna do Pará (PA)";"27492"
"Irituia (PA)";"-"
"Itaituba (PA)";"-"
"Itupiranga (PA)";"-"
"Jacareacanga (PA)";"-"
"Jacundá (PA)";"-"
"Juruti (PA)";"-"
"Limoeiro do Ajuru (PA)";"-"
"Mãe do Rio (PA)";"-"
"Magalhães Barata (PA)";"-"
"Marabá (PA)";"1628"
"Maracanã (PA)";"-"
"Marapanim (PA)";"-"
"Marituba (PA)";"..."
"Medicilândia (PA)";"-"
"Melgaço (PA)";"-"
"Mocajuba (PA)";"-"
"Moju (PA)";"-"
"Mojuí dos Campos (PA)";"175000"
"Monte Alegre (PA)";"-"
"Muaná (PA)";"-"
"Nova Esperança do Piriá (PA)";"-"
"Nova Ipixuna (PA)";"-"
"Nova Timboteua (PA)";"-"
"Novo Progresso (PA)";"66000"
"Novo Repartimento (PA)";"-"
"Óbidos (PA)";"-"
"Oeiras do Pará (PA)";"-"
"Oriximiná (PA)";"-"
"Ourém (PA)";"-"
"Ourilândia do Norte (PA)";"-"
"Pacajá (PA)";"-"
"Palestina do Pará (PA)";"-"
"Paragominas (PA)";"616387"
"Parauapebas (PA)";"-"
"Pau D'Arco (PA)";"850"
"Peixe-Boi (PA)";"-"
"Piçarra (PA)";"-"
"Placas (PA)";"2808"
"Ponta de Pedras (PA)";"-"
"Portel (PA)";"-"
"Porto de Moz (PA)";"-"
"Prainha (PA)";"-"
"Primavera (PA)";"-"
"Quatipuru (PA)";"-"
"Redenção (PA)";"22199"
"Rio Maria (PA)";"1667"
"Rondon do Pará (PA)";"162855"
"Rurópolis (PA)";"2176"
"Salinópolis (PA)";"-"
"Salvaterra (PA)";"-"
"Santa Bárbara do Pará (PA)";"-"
"Santa Izabel do Pará (PA)";"-"
"Santa Luzia do Pará (PA)";"-"
"Santa Maria das Barreiras (PA)";"158676"
"Santa Maria do Pará (PA)";"-"
"Santana do Araguaia (PA)";"359520"
"Santarém (PA)";"105000"
"Santarém Novo (PA)";"-"
"Santo Antônio do Tauá (PA)";"-"
"São Caetano de Odivelas (PA)";"-"
"São Domingos do Araguaia (PA)";"-"
"São Domingos do Capim (PA)";"-"
"São Félix do Xingu (PA)";"21450"
"São Francisco do Pará (PA)";"-"
"São Geraldo do Araguaia (PA)";"-"
"São João da Ponta (PA)";"-"
"São João de Pirabas (PA)";"-"
"São João do Araguaia (PA)";"1098"
"São Miguel do Guamá (PA)";"-"
"São Sebastião da Boa Vista (PA)";"-"
"Sapucaia (PA)";"-"
"Senador José Porfírio (PA)";"-"
"Soure (PA)";"-"
"Tailândia (PA)";"47250"
"Terra Alta (PA)";"-"
"Terra Santa (PA)";"-"
"Tomé-Açu (PA)";"-"
"Tracuateua (PA)";"-"
"Trairão (PA)";"6300"
"Tucumã (PA)";"1440"
"Tucuruí (PA)";"-"
"Ulianópolis (PA)";"174013"
"Uruará (PA)";"1950"
"Vigia (PA)";"-"
"Viseu (PA)";"-"
"Vitória do Xingu (PA)";"-"
"Xinguara (PA)";"360"
"Serra do Navio (AP)";"-"
"Amapá (AP)";"-"
"Pedra Branca do Amapari (AP)";"-"
"Calçoene (AP)";"-"
"Cutias (AP)";"-"
"Ferreira Gomes (AP)";"810"
"Itaubal (AP)";"3893"
"Laranjal do Jari (AP)";"-"
"Macapá (AP)";"7786"
"Mazagão (AP)";"-"
"Oiapoque (AP)";"-"
"Porto Grande (AP)";"1226"
"Pracuúba (AP)";"-"
"Santana (AP)";"-"
"Tartarugalzinho (AP)";"4320"
"Vitória do Jari (AP)";"-"
"Abreulândia (TO)";"27000"
"Aguiarnópolis (TO)";"-"
"Aliança do Tocantins (TO)";"28328"
"Almas (TO)";"44415"
"Alvorada (TO)";"75732"
"Ananás (TO)";"27"
"Angico (TO)";"-"
"Aparecida do Rio Negro (TO)";"100573"
"Aragominas (TO)";"1200"
"Araguacema (TO)";"113652"
"Araguaçu (TO)";"52285"
"Araguaína (TO)";"15979"
"Araguanã (TO)";"-"
"Araguatins (TO)";"-"
"Arapoema (TO)";"1339"
"Arraias (TO)";"-"
"Augustinópolis (TO)";"-"
"Aurora do Tocantins (TO)";"-"
"Axixá do Tocantins (TO)";"-"
"Babaçulândia (TO)";"5986"
"Bandeirantes do Tocantins (TO)";"-"
"Barra do Ouro (TO)";"33818"
"Barrolândia (TO)";"936"
"Bernardo Sayão (TO)";"11388"
"Bom Jesus do Tocantins (TO)";"55270"
"Brasilândia do Tocantins (TO)";"-"
"Brejinho de Nazaré (TO)";"76956"
"Buriti do Tocantins (TO)";"-"
"Cachoeirinha (TO)";"-"
"Campos Lindos (TO)";"390948"
"Cariri do Tocantins (TO)";"65077"
"Carmolândia (TO)";"-"
"Carrasco Bonito (TO)";"-"
"Caseara (TO)";"173693"
"Centenário (TO)";"6998"
"Chapada de Areia (TO)";"4656"
"Chapada da Natividade (TO)";"43776"
"Colinas do Tocantins (TO)";"-"
"Combinado (TO)";"-"
"Conceição do Tocantins (TO)";"918"
"Couto Magalhães (TO)";"41760"
"Cristalândia (TO)";"24453"
"Crixás do Tocantins (TO)";"21883"
"Darcinópolis (TO)";"30186"
"Dianópolis (TO)";"57455"
"Divinópolis do Tocantins (TO)";"52807"
"Dois Irmãos do Tocantins (TO)";"28526"
"Dueré (TO)";"12548"
"Esperantina (TO)";"-"
"Fátima (TO)";"7056"
"Figueirópolis (TO)";"81406"
"Filadélfia (TO)";"-"
"Formoso do Araguaia (TO)";"16149"
"Tabocão (TO)";"13374"
"Goianorte (TO)";"30368"
"Goiatins (TO)";"44280"
"Guaraí (TO)";"43200"
"Gurupi (TO)";"54629"
"Ipueiras (TO)";"9408"
"Itacajá (TO)";"16345"
"Itaguatins (TO)";"-"
"Itapiratins (TO)";"35845"
"Itaporã do Tocantins (TO)";"-"
"Jaú do Tocantins (TO)";"4904"
"Juarina (TO)";"2041"
"Lagoa da Confusão (TO)";"160245"
"Lagoa do Tocantins (TO)";"8970"
"Lajeado (TO)";"-"
"Lavandeira (TO)";"-"
"Lizarda (TO)";"5715"
"Luzinópolis (TO)";"1080"
"Marianópolis do Tocantins (TO)";"106891"
"Mateiros (TO)";"157590"
"Maurilândia do Tocantins (TO)";"-"
"Miracema do Tocantins (TO)";"27400"
"Miranorte (TO)";"38115"
"Monte do Carmo (TO)";"108780"
"Monte Santo do Tocantins (TO)";"8303"
"Palmeiras do Tocantins (TO)";"900"
"Muricilândia (TO)";"2016"
"Natividade (TO)";"10080"
"Nazaré (TO)";"-"
"Nova Olinda (TO)";"1011"
"Nova Rosalândia (TO)";"27004"
"Novo Acordo (TO)";"17594"
"Novo Alegre (TO)";"-"
"Novo Jardim (TO)";"2497"
"Oliveira de Fátima (TO)";"5498"
"Palmeirante (TO)";"26886"
"Palmeirópolis (TO)";"11000"
"Paraíso do Tocantins (TO)";"4976"
"Paranã (TO)";"1260"
"Pau D'Arco (TO)";"-"
"Pedro Afonso (TO)";"61560"
"Peixe (TO)";"170049"
"Pequizeiro (TO)";"5993"
"Colméia (TO)";"-"
"Pindorama do Tocantins (TO)";"14260"
"Piraquê (TO)";"22532"
"Pium (TO)";"73608"
"Ponte Alta do Bom Jesus (TO)";"165"
"Ponte Alta do Tocantins (TO)";"729"
